Frame Number,Time Stamp (ms),Buffer Index
1431,48030,0
1432,48064,0
1433,48098,0
1434,48131,0
1435,48165,0
1436,48198,0
1437,48231,0
1438,48265,0
1439,48299,0
1440,48333,0
1441,48367,0
1442,48400,0
1443,48434,0
1444,48468,0
1445,48501,0
1446,48534,0
1447,48568,0
1448,48601,0
1449,48635,0
1450,48669,0
1451,48702,0
1452,48735,0
1453,48770,0
1454,48803,0
1455,48836,0
1456,48871,0
1457,48904,0
1458,48936,0
1459,48971,0
1460,49003,0
1461,49037,0
1462,49072,0
1463,49105,0
1464,49138,0
1465,49173,0
1466,49205,0
1467,49239,0
1468,49274,0
1469,49306,0
1470,49339,0
1471,49373,0
1472,49407,0
1473,49440,0
1474,49474,0
1475,49508,0
1476,49541,0
1477,49575,0
1478,49609,0
1479,49642,0
1480,49675,0
1481,49710,0
1482,49743,0
1483,49776,0
1484,49810,0
1485,49843,0
1486,49877,0
1487,49912,0
1488,49944,0
1489,49978,0
1490,50012,0
1491,50044,0
1492,50078,0
1493,50113,0
1494,50146,0
1495,50180,0
1496,50213,0
1497,50247,0
1498,50280,0
1499,50314,0
1500,50349,0
1501,50380,0
1502,50414,0
1503,50448,0
1504,50481,0
1505,50514,0
1506,50549,0
1507,50582,0
1508,50615,0
1509,50650,0
1510,50683,0
1511,50717,0
1512,50751,0
1513,50784,0
1514,50817,0
1515,50850,0
1516,50884,0
1517,50918,0
1518,50952,0
1519,50985,0
1520,51019,0
1521,51052,0
1522,51085,0
1523,51119,0
1524,51152,0
1525,51186,0
1526,51220,0
1527,51253,0
1528,51287,0
1529,51321,0
1530,51354,0
1531,51387,0
1532,51422,0
1533,51454,0
1534,51488,0
1535,51523,0
1536,51555,0
1537,51589,0
1538,51623,0
1539,51657,0
1540,51689,0
1541,51723,0
1542,51758,0
1543,51791,0
1544,51823,0
1545,51858,0
1546,51891,0
1547,51925,0
1548,51959,0
1549,51992,0
1550,52025,0
1551,52060,0
1552,52092,0
1553,52126,0
1554,52160,0
1555,52193,0
1556,52227,0
1557,52262,0
1558,52294,0
1559,52328,0
1560,52361,0
1561,52395,0
1562,52428,0
1563,52463,0
1564,52496,0
1565,52530,0
1566,52563,0
1567,52597,0
1568,52630,0
1569,52664,0
1570,52698,0
1571,52730,0
1572,52764,0
1573,52798,0
1574,52831,0
1575,52865,0
1576,52899,0
1577,52932,0
1578,52966,0
1579,53000,0
1580,53033,0
1581,53067,0
1582,53100,0
1583,53133,0
1584,53168,0
1585,53201,0
1586,53234,0
1587,53268,0
1588,53301,0
1589,53335,0
1590,53369,0
1591,53402,0
1592,53436,0
1593,53470,0
1594,53502,0
1595,53536,0
1596,53570,0
1597,53603,0
1598,53636,0
1599,53671,0
1600,53704,0
1601,53738,0
1602,53772,0
1603,53805,0
1604,53838,0
1605,53872,0
1606,53905,0
1607,53939,0
1608,53973,0
1609,54007,0
1610,54040,0
1611,54074,0
1612,54109,0
1613,54140,0
1614,54174,0
1615,54208,0
1616,54241,0
1617,54275,0
1618,54309,0
1619,54342,0
1620,54376,0
1621,54411,0
1622,54443,0
1623,54477,0
1624,54511,0
1625,54543,0
1626,54577,0
1627,54611,0
1628,54644,0
1629,54678,0
1630,54712,0
1631,54745,0
1632,54780,0
1633,54813,0
1634,54847,0
1635,54880,0
1636,54913,0
1637,54947,0
1638,54980,0
1639,55014,0
1640,55049,0
1641,55081,0
1642,55114,0
1643,55148,0
1644,55181,0
1645,55215,0
1646,55249,0
1647,55282,0
1648,55316,0
1649,55350,0
1650,55384,0
1651,55418,0
1652,55451,0
1653,55483,0
1654,55518,0
1655,55551,0
1656,55584,0
1657,55618,0
1658,55651,0
1659,55685,0
1660,55719,0
1661,55752,0
1662,55786,0
1663,55821,0
1664,55853,0
1665,55886,0
1666,55920,0
1667,55953,0
1668,55987,0
1669,56021,0
1670,56054,0
1671,56087,0
1672,56121,0
1673,56155,0
1674,56188,0
1675,56222,0
1676,56256,0
1677,56289,0
1678,56323,0
1679,56358,0
1680,56391,0
1681,56423,0
1682,56458,0
1683,56492,0
1684,56525,0
1685,56559,0
1686,56591,0
1687,56625,0
1688,56659,0
1689,56692,0
1690,56726,0
1691,56760,0
1692,56792,0
1693,56826,0
1694,56860,0
1695,56893,0
1696,56927,0
1697,56962,0
1698,56995,0
1699,57028,0
1700,57062,0
1701,57096,0
1702,57130,0
1703,57163,0
1704,57197,0
1705,57229,0
1706,57263,0
1707,57298,0
1708,57331,0
1709,57364,0
1710,57398,0
1711,57431,0
1712,57465,0
1713,57499,0
1714,57531,0
1715,57566,0
1716,57599,0
1717,57632,0
1718,57666,0
1719,57700,0
1720,57733,0
1721,57767,0
1722,57801,0
1723,57834,0
1724,57868,0
1725,57901,0
1726,57934,0
1727,57968,0
1728,58001,0
1729,58035,0
1730,58070,0
1731,58102,0
1732,58136,0
1733,58170,0
1734,58203,0
1735,58236,0
1736,58271,0
1737,58303,0
1738,58337,0
1739,58371,0
1740,58405,0
1741,58438,0
1742,58472,0
1743,58506,0
1744,58539,0
1745,58573,0
1746,58606,0
1747,58639,0
1748,58672,0
1749,58707,0
1750,58741,0
1751,58774,0
1752,58808,0
1753,58841,0
1754,58874,0
1755,58909,0
1756,58941,0
1757,58975,0
1758,59009,0
1759,59041,0
1760,59075,0
1761,59110,0
1762,59143,0
1763,59176,0
1764,59210,0
1765,59244,0
1766,59277,0
1767,59311,0
1768,59346,0
1769,59379,0
1770,59413,0
1771,59447,0
1772,59480,0
1773,59513,0
1774,59546,0
1775,59580,0
1776,59614,0
1777,59649,0
1778,59681,0
1779,59715,0
1780,59748,0
1781,59781,0
1782,59815,0
1783,59849,0
1784,59882,0
1785,59916,0
1786,59950,0
1787,59983,0
1788,60017,0
1789,60051,0
1790,60084,0
1791,60117,0
1792,60151,0
1793,60184,0
1794,60218,0
1795,60252,0
1796,60285,0
1797,60319,0
1798,60351,0
1799,60385,0
1800,60419,0
1801,60452,0
1802,60486,0
1803,60520,0
1804,60554,0
1805,60587,0
1806,60621,0
1807,60654,0
1808,60687,0
1809,60721,0
1810,60756,0
1811,60789,0
1812,60822,0
1813,60855,0
1814,60889,0
1815,60922,0
1816,60956,0
1817,60990,0
1818,61023,0
1819,61058,0
1820,61091,0
1821,61124,0
1822,61159,0
1823,61191,0
1824,61224,0
1825,61258,0
1826,61291,0
1827,61325,0
1828,61359,0
1829,61392,0
1830,61426,0
1831,61460,0
1832,61494,0
1833,61527,0
1834,61561,0
1835,61594,0
1836,61627,0
1837,61661,0
1838,61695,0
1839,61728,0
1840,61762,0
1841,61797,0
1842,61830,0
1843,61863,0
1844,61898,0
1845,61931,0
1846,61965,0
1847,61999,0
1848,62030,0
1849,62065,0
1850,62099,0
1851,62131,0
1852,62165,0
1853,62198,0
1854,62233,0
1855,62266,0
1856,62299,0
1857,62332,0
1858,62367,0
1859,62400,0
1860,62433,0
1861,62467,0
1862,62500,0
1863,62534,0
